age,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default_no,default_yes,balance,housing_no,housing_yes,loan_no,loan_yes,contact_cellular,contact_telephone,contact_unknown,day,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,duration,campaign,pdays,previous,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,y
45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,586,1,0,0,1,1,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,32,3,-1,0,0,0,0,1,0
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,228,1,0,1,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,176,1,288,3,1,0,0,0,0
77,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4659,1,0,1,0,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,161,1,-1,0,0,0,0,1,1
41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,168,0,1,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,187,3,-1,0,0,0,0,1,0
37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,24,1,-1,0,0,0,0,1,0
43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-715,0,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,67,3,-1,0,0,0,0,1,0
48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,85,1,168,2,1,0,0,0,0
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,769,0,1,1,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,317,2,-1,0,0,0,0,1,0
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,236,10,-1,0,0,0,0,1,0
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,428,0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,54,1,345,2,1,0,0,0,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,71,1,-1,0,0,0,0,1,0
52,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-970,0,1,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,489,1,-1,0,0,0,0,1,1
60,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6313,1,0,1,0,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,39,2,-1,0,0,0,0,1,0
32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,948,1,0,1,0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,204,2,-1,0,0,0,0,1,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,455,2,-1,0,0,0,0,1,0
56,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1877,0,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,86,1,-1,0,0,0,0,1,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,874,0,1,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,190,2,-1,0,0,0,0,1,0
42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,323,0,1,0,1,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,280,2,-1,0,0,0,0,1,0
35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,106,1,0,0,1,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,588,2,-1,0,0,0,0,1,0
56,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1906,1,0,0,1,0,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,45,9,-1,0,0,0,0,1,0
48,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1152,0,1,1,0,1,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,168,5,-1,0,0,0,0,1,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,179,0,1,1,0,1,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,194,4,436,1,0,1,0,0,0
37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,391,0,1,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,103,3,-1,0,0,0,0,1,0
41,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,89,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,333,2,-1,0,0,0,0,1,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,442,0,1,0,1,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,102,3,-1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,-249,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,92,1,-1,0,0,0,0,1,0
55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8104,1,0,1,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,213,2,-1,0,0,0,0,1,0
39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,501,1,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,289,1,-1,0,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,308,1,0,1,0,1,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,77,2,-1,0,0,0,0,1,0
55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,602,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,324,3,90,2,0,0,1,0,1
55,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,273,0,1,1,0,1,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,84,3,183,3,1,0,0,0,0
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,50,1,0,1,0,1,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,168,1,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1641,0,1,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,380,1,-1,0,0,0,0,1,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,20,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,10,1,-1,0,0,0,0,1,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4590,0,1,1,0,0,0,1,28,0,0,0,0,0,0,0,0,1,0,0,0,199,2,-1,0,0,0,0,1,0
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-256,1,0,0,1,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,35,3,-1,0,0,0,0,1,0
43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,978,0,1,0,1,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,82,2,-1,0,0,0,0,1,0
28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,80,1,0,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,676,2,146,2,1,0,0,0,1
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2104,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,455,1,-1,0,0,0,0,1,0
78,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,499,1,0,1,0,0,1,0,16,0,0,0,0,0,0,0,1,0,0,0,0,80,4,-1,0,0,0,0,1,0
45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1269,0,1,1,0,1,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,549,2,-1,0,0,0,0,1,0
48,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,310,1,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,135,1,-1,0,0,0,0,1,0
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1143,0,1,0,1,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,412,1,-1,0,0,0,0,1,0
42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2980,1,0,1,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,101,3,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,37,1,0,1,0,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,253,2,-1,0,0,0,0,1,0
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,462,0,1,0,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,272,1,335,4,0,1,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1031,0,1,1,0,1,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,84,1,-1,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,9009,1,0,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,135,2,-1,0,0,0,0,1,0
43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-465,0,1,0,1,1,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,166,1,-1,0,0,0,0,1,0
44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5181,0,1,0,1,1,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,18,7,-1,0,0,0,0,1,0
37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,176,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,147,2,347,1,1,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1699,1,0,1,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,63,1,-1,0,0,0,0,1,0
37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,65,2,119,1,1,0,0,0,0
28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,172,0,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,194,2,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,333,2,-1,0,0,0,0,1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6979,0,1,1,0,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,14,5,-1,0,0,0,0,1,0
40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6,1,0,1,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,140,1,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,-62,0,1,1,0,0,0,1,16,0,0,0,0,0,0,1,0,0,0,0,0,109,3,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1972,0,1,1,0,1,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,61,2,-1,0,0,0,0,1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,899,0,1,1,0,0,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,377,3,7,4,0,0,1,0,0
37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,21,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,96,1,271,2,0,1,0,0,0
36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,23,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,152,2,347,1,1,0,0,0,0
56,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-1206,0,1,1,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,382,2,-1,0,0,0,0,1,1
49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,23,0,0,0,0,0,1,0,0,0,0,0,0,97,6,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,215,0,1,1,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,543,12,-1,0,0,0,0,1,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1372,1,0,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,240,2,-1,0,0,0,0,1,0
36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1981,1,0,1,0,0,0,1,17,0,0,0,0,0,0,1,0,0,0,0,0,48,2,-1,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,9216,1,0,1,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,471,2,-1,0,0,0,0,1,0
57,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,39,0,1,1,0,1,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,354,3,-1,0,0,0,0,1,0
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5563,0,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,435,2,-1,0,0,0,0,1,0
38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,152,2,-1,0,0,0,0,1,0
42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,782,1,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,285,1,-1,0,0,0,0,1,0
75,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3771,1,0,1,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,185,1,181,2,0,0,1,0,1
34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,992,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,301,1,88,2,0,0,1,0,0
48,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1526,1,0,1,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,273,2,-1,0,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2658,0,1,1,0,1,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,768,2,141,3,1,0,0,0,1
39,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1315,0,1,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,1337,4,126,1,1,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,455,1,0,1,0,0,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,403,1,-1,0,0,0,0,1,1
45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,139,2,-1,0,0,0,0,1,0
42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2030,0,1,0,1,1,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,196,1,-1,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1599,0,1,1,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,115,1,61,1,1,0,0,0,0
38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,-196,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,60,1,271,1,1,0,0,0,0
56,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1333,1,0,1,0,1,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,17,14,-1,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,9149,0,1,1,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,141,3,-1,0,0,0,0,1,0
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-350,0,1,1,0,0,0,1,23,0,0,0,0,0,0,1,0,0,0,0,0,95,3,-1,0,0,0,0,1,0
38,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,432,0,1,1,0,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,10,2,373,1,0,1,0,0,0
57,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,11494,1,0,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,198,1,-1,0,0,0,0,1,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-253,1,0,1,0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,220,4,-1,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,372,0,1,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,654,2,-1,0,0,0,0,1,1
45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1410,1,0,1,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,71,2,-1,0,0,0,0,1,0
30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,975,0,1,1,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,256,2,351,2,1,0,0,0,0
49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,305,0,1,0,1,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,834,10,-1,0,0,0,0,1,0
49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,400,1,0,1,0,1,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,151,3,-1,0,0,0,0,1,0
53,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-22,0,1,1,0,1,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,20,3,-1,0,0,0,0,1,0
37,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,4030,0,1,1,0,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,178,5,-1,0,0,0,0,1,0
49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,365,1,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,59,2,-1,0,0,0,0,1,0
41,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,204,1,0,1,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,111,7,-1,0,0,0,0,1,0
54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1691,0,1,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,186,1,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,406,0,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,227,1,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,-204,1,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,297,3,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,359,0,1,1,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,210,1,242,1,0,1,0,0,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,123,0,1,1,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,9,1,-1,0,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,112,1,62,6,0,1,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,142,1,0,1,0,1,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,112,6,-1,0,0,0,0,1,0
40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3571,1,0,1,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,222,3,-1,0,0,0,0,1,0
44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,33,0,1,1,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,195,3,351,10,1,0,0,0,0
45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,768,2,91,5,0,0,1,0,0
30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,3096,1,0,1,0,1,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,123,1,-1,0,0,0,0,1,0
48,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,20,1,0,1,0,1,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,145,3,-1,0,0,0,0,1,0
33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3576,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,124,1,308,2,0,1,0,0,0
57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,206,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,216,3,-1,0,0,0,0,1,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7082,1,0,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,69,3,-1,0,0,0,0,1,0
51,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1634,0,1,1,0,1,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,168,4,-1,0,0,0,0,1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,483,7,-1,0,0,0,0,1,0
50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4012,1,0,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,690,3,-1,0,0,0,0,1,0
44,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3762,1,0,1,0,1,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,125,12,-1,0,0,0,0,1,0
27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-247,0,1,0,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,344,2,-1,0,0,0,0,1,0
50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,606,0,1,1,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,673,2,-1,0,0,0,0,1,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,60,1,250,1,0,1,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-189,0,1,1,0,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,247,2,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,123,2,-1,0,0,0,0,1,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,484,0,1,1,0,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,144,2,-1,0,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,9,2,172,5,1,0,0,0,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,395,0,1,1,0,1,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,155,3,-1,0,0,0,0,1,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2349,1,0,1,0,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,134,5,-1,0,0,0,0,1,0
55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,410,1,0,0,1,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,221,2,-1,0,0,0,0,1,0
58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3401,0,1,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,84,3,265,2,1,0,0,0,0
46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,222,1,0,1,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,71,2,-1,0,0,0,0,1,0
55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,989,0,1,0,1,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,246,4,-1,0,0,0,0,1,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,415,1,0,0,1,1,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,361,2,-1,0,0,0,0,1,0
